CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
21001,Kentucky,Adair,18852,9308,9544,1.8,93.7,2.7,0.1,0.3,0.0,14756,33362.0,3062.0,18277,1090,21.6,30.7,27.6,15.1,24.1,9.7,23.4,84.3,8.9,0.5,2.6,0.8,2.9,22.7,7700,74.0,14.6,11.2,0.1,7.7
21003,Kentucky,Allen,20355,10014,10341,1.8,95.6,1.4,0.0,0.5,0.0,15294,41326.0,3445.0,20702,1277,17.2,21.8,25.2,14.3,21.3,13.9,25.3,77.6,12.1,0.0,2.8,2.6,5.0,25.1,8576,76.2,13.0,10.4,0.4,9.2
21005,Kentucky,Anderson,21761,10599,11162,1.5,94.4,2.3,0.0,0.6,0.0,16212,53974.0,3350.0,24353,1136,10.3,13.7,29.0,15.9,25.5,10.5,19.0,82.8,15.2,0.0,0.2,0.5,1.4,25.9,10646,66.7,26.5,6.8,0.1,6.9
21007,Kentucky,Ballard,8256,4098,4158,1.2,93.4,3.4,0.5,0.6,0.0,6420,42244.0,2473.0,24056,1442,16.3,25.0,26.9,16.5,23.2,12.0,21.4,85.9,6.4,1.8,0.8,2.5,2.6,23.7,3489,79.9,11.7,8.4,0.0,6.2
21009,Kentucky,Barren,42925,20895,22030,2.9,90.9,4.1,0.3,0.5,0.0,32185,38370.0,1807.0,20262,836,20.4,28.5,27.1,16.7,19.4,8.4,28.4,81.7,10.4,0.3,1.5,1.0,5.1,20.7,18672,76.7,15.0,8.0,0.3,7.6
21011,Kentucky,Bath,11978,5947,6031,1.4,95.7,1.6,0.1,0.0,0.0,8905,33483.0,2421.0,18719,2900,26.4,35.2,28.4,18.0,18.5,11.3,23.8,83.3,10.0,0.2,1.6,0.4,4.4,24.2,4045,68.8,21.1,9.9,0.2,14.0
21013,Kentucky,Bell,27950,13581,14369,0.5,94.6,3.2,0.0,0.3,0.0,21841,22443.0,1863.0,13701,633,38.0,51.6,23.6,18.5,25.9,14.0,18.0,75.4,16.2,0.2,3.5,1.6,3.1,21.7,8018,77.5,16.6,5.7,0.1,11.6
21015,Kentucky,Boone,124617,61530,63087,3.9,88.8,2.9,0.2,2.4,0.0,86782,66730.0,1965.0,29866,835,8.2,11.2,38.8,13.4,27.1,6.8,13.8,85.2,7.9,1.0,1.0,1.1,3.8,24.1,62624,85.2,11.3,3.5,0.1,5.6
21017,Kentucky,Bourbon,20013,9878,10135,6.9,85.1,7.1,0.0,0.2,0.0,14589,45208.0,2863.0,23620,1381,16.6,24.6,29.8,18.4,22.5,13.0,16.3,78.1,11.1,0.4,1.9,1.0,7.6,22.4,8984,78.6,13.7,7.5,0.3,9.9
21019,Kentucky,Boyd,48917,24241,24676,1.5,93.5,2.7,0.3,0.4,0.0,38377,42319.0,2715.0,25745,2632,20.4,30.2,34.7,17.7,23.9,10.4,13.4,82.3,11.1,0.3,3.5,1.2,1.6,21.1,18376,80.3,14.5,5.0,0.3,10.5
21021,Kentucky,Boyle,29388,14607,14781,3.1,86.4,6.9,0.0,0.8,0.0,22962,39704.0,2136.0,22368,1240,16.1,19.4,33.6,20.8,20.5,8.3,16.8,78.6,11.4,0.1,4.3,1.3,4.4,20.1,12218,75.8,16.3,7.8,0.2,7.1
21023,Kentucky,Bracken,8425,4203,4222,1.4,98.4,0.0,0.0,0.0,0.0,6317,36327.0,4162.0,21054,1204,18.5,26.6,29.9,14.1,21.2,14.9,20.0,81.1,12.0,0.0,1.7,0.6,4.6,37.8,3486,77.9,15.3,6.9,0.0,8.3
21025,Kentucky,Breathitt,13591,6829,6762,0.5,97.3,0.5,0.2,0.4,0.2,10642,25817.0,1366.0,15737,893,32.9,42.1,28.4,23.1,23.1,12.4,12.9,75.5,15.1,0.3,3.7,4.3,1.1,27.2,4239,68.9,24.5,6.4,0.1,12.4
21027,Kentucky,Breckinridge,20061,9945,10116,1.2,94.8,2.3,0.0,0.1,0.0,15325,43479.0,3250.0,19185,931,17.4,20.7,25.0,16.5,19.4,15.2,23.9,76.3,16.4,0.6,1.6,1.9,3.2,29.1,7683,76.7,15.8,7.2,0.3,11.5
21029,Kentucky,Bullitt,76961,38049,38912,1.6,95.3,0.5,0.2,0.5,0.1,58538,55975.0,2043.0,24458,615,10.4,13.6,26.2,13.0,28.0,11.3,21.5,86.4,9.2,0.4,0.8,0.7,2.6,27.5,37079,84.6,10.9,4.4,0.1,7.6
21031,Kentucky,Butler,12835,6450,6385,3.5,95.6,0.7,0.2,0.0,0.0,9740,33536.0,4414.0,18502,1212,29.3,46.0,26.7,13.0,23.1,13.9,23.3,85.4,7.8,0.1,1.3,2.7,2.7,27.0,5003,73.5,13.3,12.4,0.8,6.1
21033,Kentucky,Caldwell,12826,6191,6635,1.4,91.4,5.8,0.0,0.0,0.3,9933,42537.0,6024.0,20840,1401,20.1,32.5,33.9,15.8,18.6,10.8,21.0,82.3,6.9,0.3,2.1,7.6,0.9,22.0,5396,69.4,18.1,12.4,0.0,8.7
21035,Kentucky,Calloway,38106,18379,19727,2.5,89.6,3.9,0.3,2.2,0.0,29804,37034.0,2435.0,20701,974,23.1,22.6,31.7,17.6,26.4,9.1,15.2,82.0,7.3,0.3,6.0,1.7,2.7,17.5,16904,71.9,20.9,7.0,0.1,9.1
21037,Kentucky,Campbell,91475,44858,46617,1.8,92.5,3.2,0.1,0.8,0.0,69969,54621.0,1722.0,28248,782,14.6,20.5,38.3,15.7,26.9,7.7,11.5,82.6,7.8,2.2,3.4,1.1,2.9,22.1,45872,83.9,12.2,3.8,0.0,6.8
21039,Kentucky,Carlisle,4984,2402,2582,2.2,94.7,1.6,0.7,0.1,0.0,3871,38829.0,2775.0,21499,1393,19.8,38.2,22.9,22.5,21.0,13.3,20.2,82.7,8.9,0.0,0.1,2.7,5.7,25.5,2122,73.2,17.7,9.0,0.2,6.8
21041,Kentucky,Carroll,10830,5590,5240,6.8,88.9,2.4,0.2,0.1,0.0,7718,41439.0,2384.0,20129,1401,27.9,40.8,20.6,15.5,22.3,14.5,27.1,82.1,13.5,0.0,1.9,0.4,2.0,18.7,4263,82.6,12.9,4.2,0.2,13.2
21043,Kentucky,Carter,27326,13502,13824,1.2,96.7,0.8,0.2,0.1,0.0,21031,36696.0,2216.0,18948,973,17.6,24.2,25.4,17.1,23.5,15.6,18.3,77.8,14.3,0.2,4.9,0.6,2.3,31.4,10039,80.1,15.5,4.3,0.1,11.1
21045,Kentucky,Casey,15954,7857,8097,2.7,95.2,0.8,0.1,0.2,0.0,12186,32341.0,2241.0,17526,1211,25.5,34.3,28.4,13.3,23.0,11.1,24.1,82.1,10.5,0.0,0.5,1.9,5.1,29.2,5926,75.1,16.3,8.2,0.5,9.0
21047,Kentucky,Christian,74159,38891,35268,7.1,67.5,19.3,0.4,1.4,0.3,52080,39521.0,1656.0,19614,728,19.9,26.1,29.2,17.9,22.6,9.7,20.7,76.5,10.6,0.4,8.6,1.6,2.4,17.0,23856,72.7,20.9,6.2,0.2,12.7
21049,Kentucky,Clark,35657,17464,18193,2.8,90.4,5.3,0.0,0.6,0.0,27221,47959.0,2888.0,25492,1417,15.4,20.4,33.2,14.6,25.5,10.4,16.3,82.6,10.0,0.5,2.1,1.0,3.7,23.3,15950,79.9,14.2,5.3,0.6,7.9
21051,Kentucky,Clay,21300,11415,9885,1.8,92.7,3.8,0.3,0.1,0.0,16637,21549.0,1892.0,13802,911,39.7,50.4,25.2,18.0,24.1,15.0,17.7,78.6,16.1,0.0,2.3,0.8,2.1,28.5,5459,69.0,24.8,5.7,0.5,15.9
21053,Kentucky,Clinton,10188,5052,5136,2.7,96.3,0.6,0.0,0.2,0.0,7663,28025.0,2629.0,16712,1273,24.3,29.4,24.7,17.1,20.5,9.8,27.9,84.6,11.2,0.3,0.4,1.1,2.5,19.1,3555,72.2,20.3,7.5,0.0,9.3
