index,county,crime_rate
1,Jefferson,576.7462264
2,Scott,376.3989829
3,Fayette,369.9404723
4,Franklin,336.3680309
5,Christian,258.875241
6,Boyle,224.0375004
7,Simpson,213.5671331
8,Henderson,207.1331478
9,McCracken,200.3885396
10,Taylor,198.791026
11,Kenton,198.5963407
12,Warren,198.5300329
13,Clark,193.7440332
14,Campbell,186.8378248
15,Montgomery,176.1403251
16,Caldwell,171.5667161
17,Daviess,169.0117901
18,Boyd,165.6916091
19,Madison,163.5705106
20,Jessamine,163.4345166
21,Logan,145.1108796
22,Mason,144.6926728
23,Hopkins,141.5276408
24,Fulton,140.9553641
25,Harrison,140.4039313
26,Bell,139.8601399
27,Boone,139.8241751
28,Graves,138.8480948
29,Woodford,138.4767557
30,Ohio,133.4000334
31,Trigg,132.9322046
32,Shelby,128.9126108
33,Calloway,127.4663409
34,Marshall,122.1589996
35,Whitley,120.2259129
36,Ballard,120.0192031
37,Pulaski,118.9228097
38,Bullitt,117.1051604
39,Barren,116.2061031
40,Hardin,115.5364125
41,Bourbon,115.0115012
42,Nelson,112.2586439
43,Martin,110.6981893
44,Gallatin,106.2072221
45,Carroll,100.4291062
46,Perry,96.39414495
47,Grayson,96.16494211
48,Adair,96.09224856
49,Pendleton,96.08785175
50,Todd,95.97696553
51,Mercer,93.68120287
52,Clay,93.61542782
53,Edmonson,91.19548997
54,Marion,89.7979546
55,Laurel,88.98141464
56,Union,86.49943443
57,Butler,85.98452279
58,Livingston,85.47921787
59,Harlan,80.70458613
60,Knox,75.49543882
61,Wayne,72.54086469
62,McCreary,72.26638501
63,Green,71.55635063
64,Nicholas,71.03281716
65,Lee,68.87052342
66,Johnson,68.23318692
67,Meade,65.04621705
68,Rowan,63.75653504
69,Hickman,63.22444679
70,Casey,62.23937263
71,Breckinridge,59.88023952
72,Garrard,59.11912504
73,Cumberland,58.9188393
74,Lawrence,56.76084763
75,Spencer,56.69898509
76,Russell,56.33168094
77,Powell,56.02689291
78,Anderson,55.01811013
79,Crittenden,54.02485143
80,Grant,52.5188866
81,Washington,50.52631579
82,Larue,49.77246871
83,Lincoln,49.24086992
84,Muhlenberg,48.10930434
85,Oldham,48.10467577
86,Carter,47.79060363
87,Bracken,47.52851711
88,Greenup,46.55111038
89,Magoffin,46.33204633
90,Trimble,45.37205082
91,Lewis,43.45936549
92,Hart,43.07327841
93,McLean,42.12299916
94,Floyd,41.31377815
95,Carlisle,39.9920016
96,Allen,39.387524
97,Elliott,39.28244075
98,Letcher,38.10491553
99,Pike,37.86683496
100,Monroe,37.449677
101,Rockcastle,35.94320973
102,Lyon,35.49875754
103,Hancock,34.53436169
104,Fleming,34.46374414
105,Webster,29.73535534
106,Estill,27.60905577
107,Wolfe,27.59381898
108,Henry,25.89834898
109,Morgan,22.42152466
110,Jackson,22.34304014
111,Owsley,21.486893
112,Metcalfe,20.0340579
113,Clinton,19.71220185
114,Knott,18.77816725
115,Owen,18.75820672
116,Leslie,18.15046737
117,Menifee,15.90330789
118,Breathitt,14.76559616
119,Bath,8.360504975
120,Robertson,0
